"project_id","project_name","project_lead","start_date","end_date","status"
9,"AI System",2,"2024-10-08","2024-12-09","Completed"
10,"Sales Automation Phase 2",2,"2024-02-02",,"Planned"
11,"Data Platform Phase 2",4,"2025-07-28","2025-09-16","Completed"
12,"Customer Platform v2.0",8,"2024-01-07",,"On Hold"
13,"Marketing Automation",5,"2024-08-08",,"In Progress"
14,"Finance Integration",7,"2025-01-02","2025-03-31","Completed"
15,"Data Integration Pilot",8,"2025-01-22","2025-02-11","Completed"
16,"Sales Analysis v2.0",6,"2024-03-12",,"In Progress"
17,"HR Integration Beta",2,"2024-04-13",,"In Progress"
18,"Marketing Analysis v2.0",6,"2025-01-14",,"In Progress"
19,"AI System Beta",2,"2025-06-30",,"In Progress"
20,"AI Management",7,"2025-07-24",,"On Hold"
21,"Inventory Automation Phase 2",4,"2024-11-19","2025-03-01","Completed"
22,"HR Portal Phase 2",6,"2025-05-26",,"In Progress"
23,"Data Integration Pilot",5,"2024-09-09",,"In Progress"
24,"AI System Pilot",7,"2025-01-05",,"Planned"
25,"Customer System Beta",8,"2024-02-18","2024-03-17","Completed"
26,"Finance Portal Pilot",2,"2025-01-25",,"Planned"
27,"Data Integration v2.0",5,"2024-04-27","2024-10-18","Completed"
28,"Customer Portal",2,"2025-03-21",,"On Hold"
29,"Payroll Integration Pilot",5,"2025-06-03",,"In Progress"
30,"Customer Dashboard Pilot",4,"2025-01-17",,"In Progress"
31,"Payroll Management v2.0",6,"2024-01-20",,"Planned"
32,"Payroll Automation Beta",4,"2024-09-03","2025-01-26","Completed"
33,"Employee System v2.0",2,"2024-05-11",,"In Progress"
34,"AI Integration Beta",7,"2025-07-06",,"In Progress"
35,"Employee Automation Phase 2",6,"2025-06-13",,"Planned"
36,"Finance Analysis Pilot",4,"2024-12-12","2024-12-17","Completed"
37,"Sales Analysis",4,"2024-03-13","2024-08-21","Completed"
38,"Data Analysis v2.0",1,"2024-03-13",,"On Hold"
39,"Customer Portal Phase 2",8,"2025-07-06",,"In Progress"
40,"Payroll Automation Beta",8,"2024-07-13",,"Planned"
41,"Employee Dashboard",6,"2025-02-24",,"Planned"
42,"Payroll Analysis Phase 2",1,"2024-12-13",,"Planned"
43,"HR System v2.0",4,"2024-05-23",,"Planned"
44,"Employee Automation",8,"2024-03-18",,"In Progress"
45,"HR Portal Beta",1,"2024-08-30","2024-10-11","Completed"
46,"Customer Platform",4,"2024-03-01",,"Planned"
47,"Inventory Platform Pilot",7,"2025-04-10",,"On Hold"
48,"Inventory Analysis",8,"2024-07-13",,"In Progress"
49,"Sales Portal Pilot",1,"2024-02-28",,"On Hold"
50,"Customer Automation Pilot",3,"2025-06-04","2025-06-24","Completed"
51,"Payroll Analysis Pilot",2,"2025-02-17",,"In Progress"
52,"Finance Management v2.0",1,"2025-03-05","2025-08-20","Completed"
53,"Inventory Platform Phase 2",4,"2024-09-01",,"On Hold"
54,"Payroll Dashboard Beta",5,"2024-11-19",,"Planned"
55,"Data Integration Phase 2",2,"2025-07-04","2025-08-27","Completed"
56,"Inventory System Beta",6,"2024-09-07","2024-12-10","Completed"
57,"Payroll System v2.0",5,"2025-07-21","2025-10-05","Completed"
58,"Inventory Integration Pilot",2,"2025-07-20","2025-08-28","Completed"
59,"Inventory Portal v2.0",4,"2024-07-27",,"On Hold"
60,"Sales Dashboard v2.0",1,"2025-03-09","2025-05-18","Completed"
61,"Employee Platform Pilot",3,"2024-06-14",,"On Hold"
62,"Customer Dashboard v2.0",1,"2024-03-18","2024-09-10","Completed"
63,"Sales Integration v2.0",3,"2024-05-10",,"Planned"
64,"AI Automation v2.0",1,"2024-08-03",,"On Hold"
65,"Customer System Beta",7,"2024-08-30",,"In Progress"
